NodeID,Energy,PacketDeliveryRatio,TransmissionCount,DroppedPackets,ForwardedPackets,DirectTrust,IndirectTrust,TotalTrust,AttackLabel
90,0.5296,1.0,35,0,0,1.0,0.6536,0.8614,Normal
91,0.3766,0.4706,34,18,0,0.4706,0.9753,0.6725,Grayhole
92,0.273,1.0,37,0,0,1.0,0.77,0.908,Normal
93,0.2506,1.0,29,0,0,1.0,0.893,0.9572,Normal
94,0.6947,0.0,31,31,0,0.0,0.7572,0.3029,Blackhole
95,0.0977,0.5312,32,15,0,0.5312,0.9561,0.7012,Grayhole
96,0.5195,0.9615,26,1,0,0.9615,0.9315,0.9495,Normal
97,0.3682,0.9643,28,1,0,0.9643,0.7275,0.8696,Normal
98,0.6264,0.9697,33,1,0,0.9697,0.7404,0.878,Normal
99,0.0,0.9298,114,8,0,0.9298,0.9096,0.9218,DoS
0,0.6908,0.9524,21,1,0,0.9524,0.8565,0.914,Normal
1,0.6626,1.0,23,0,0,1.0,0.8095,0.9238,Normal
2,0.305,0.9167,24,2,0,0.9167,0.9033,0.9113,Normal
3,0.0,0.9316,117,8,0,0.9316,0.8304,0.8911,DoS
4,0.2023,0.3947,38,23,0,0.3947,0.7737,0.5463,Grayhole
5,0.0,0.9681,94,3,0,0.9681,0.8434,0.9182,DoS
6,0.3934,0.5185,27,13,0,0.5185,0.8996,0.6709,Grayhole
7,0.4397,0.9565,23,1,0,0.9565,0.8294,0.9057,Normal
8,0.4834,0.9545,22,1,0,0.9545,0.8459,0.9111,Normal
9,0.6647,0.963,27,1,0,0.963,0.8479,0.9169,Normal
10,0.6227,0.9688,32,1,0,0.9688,0.7693,0.889,Normal
11,0.5869,0.95,20,1,0,0.95,0.6639,0.8355,Normal
12,0.6465,0.0,26,26,0,0.0,0.7559,0.3024,Blackhole
13,0.4897,0.9394,33,2,0,0.9394,0.7587,0.8671,Normal
14,0.6069,0.9231,26,2,0,0.9231,0.7256,0.8441,Normal
15,0.5247,0.0,37,37,0,0.0,0.8749,0.3499,Blackhole
16,0.402,0.9487,39,2,0,0.9487,0.85,0.9092,Normal
17,0.1613,0.5,24,12,0,0.5,0.8562,0.6425,Grayhole
18,0.4799,1.0,22,0,0,1.0,0.6607,0.8643,Normal
19,5.2689,0.981,105,2,0,0.981,0.8753,0.9387,DoS
20,0.3978,1.0,31,0,0,1.0,0.8438,0.9375,Normal
21,0.2657,1.0,33,0,0,1.0,0.7879,0.9151,Normal
22,0.4696,0.9714,35,1,0,0.9714,0.9808,0.9752,Normal
23,0.6835,1.0,33,0,0,1.0,0.8205,0.9282,Normal
24,0.389,0.9474,38,2,0,0.9474,0.7864,0.883,Normal
25,0.6122,1.0,21,0,0,1.0,0.7594,0.9038,Normal
26,0.6457,0.9697,33,1,0,0.9697,0.7362,0.8763,Normal
27,0.7665,0.0,30,30,0,0.0,0.9179,0.3672,Blackhole
28,0.4003,1.0,39,0,0,1.0,0.7563,0.9025,Normal
29,0.3296,0.5862,29,12,0,0.5862,0.8872,0.7066,Grayhole
30,0.3152,0.9545,22,1,0,0.9545,0.8505,0.9129,Normal
31,0.4365,1.0,36,0,0,1.0,0.8344,0.9338,Normal
32,0.6684,0.0,31,31,0,0.0,0.8295,0.3318,Blackhole
33,0.4036,0.9722,36,1,0,0.9722,0.7606,0.8876,Normal
34,0.6737,0.9744,39,1,0,0.9744,0.7426,0.8816,Normal
35,0.556,0.95,20,1,0,0.95,0.7922,0.8869,Normal
36,0.53,0.9688,32,1,0,0.9688,0.7586,0.8847,Normal
37,0.4115,0.9714,35,1,0,0.9714,0.9696,0.9707,Normal
38,0.6001,1.0,31,0,0,1.0,0.7024,0.8809,Normal
39,0.6164,0.0,30,30,0,0.0,0.8485,0.3394,Blackhole
40,0.0,0.6,35,14,0,0.6,0.7602,0.6641,Grayhole
41,0.4208,1.0,36,0,0,1.0,0.7208,0.8883,Normal
42,0.2114,1.0,32,0,0,1.0,0.9017,0.9607,Normal
43,0.6873,0.963,27,1,0,0.963,0.9122,0.9427,Normal
44,0.6628,0.9394,33,2,0,0.9394,0.8425,0.9007,Normal
45,0.4381,0.95,20,1,0,0.95,0.6208,0.8183,Normal
46,0.4457,1.0,38,0,0,1.0,0.7174,0.887,Normal
47,0.5833,1.0,30,0,0,1.0,0.8344,0.9338,Normal
48,0.5906,1.0,39,0,0,1.0,0.8168,0.9267,Normal
49,0.6913,0.9429,35,2,0,0.9429,0.8589,0.9093,Normal
50,0.3051,1.0,37,0,0,1.0,0.8217,0.9287,Normal
51,0.0,0.9474,114,6,0,0.9474,0.8275,0.8994,DoS
52,0.3897,0.9722,36,1,0,0.9722,0.788,0.8985,Normal
53,0.4547,0.9688,32,1,0,0.9688,0.8634,0.9266,Normal
54,0.5637,0.9722,36,1,0,0.9722,0.7487,0.8828,Normal
55,0.2813,1.0,25,0,0,1.0,0.7764,0.9106,Normal
56,0.593,0.9615,26,1,0,0.9615,0.9857,0.9712,Normal
57,0.3773,1.0,21,0,0,1.0,0.7386,0.8954,Normal
58,0.5734,0.9722,36,1,0,0.9722,0.7704,0.8915,Normal
59,0.3296,0.3913,23,14,0,0.3913,0.6744,0.5046,Grayhole
60,0.2549,0.9643,28,1,0,0.9643,0.8436,0.916,Normal
61,0.7337,0.0,33,33,0,0.0,0.8785,0.3514,Blackhole
62,0.2614,0.949,98,5,0,0.949,0.812,0.8942,DoS
63,0.6963,0.9474,38,2,0,0.9474,0.8129,0.8936,Normal
64,4.0024,0.9785,93,2,0,0.9785,0.7144,0.8728,DoS
65,0.7288,0.0,31,31,0,0.0,0.942,0.3768,Blackhole
66,0.6111,0.9643,28,1,0,0.9643,0.6672,0.8455,Normal
67,0.214,1.0,39,0,0,1.0,0.6678,0.8671,Normal
68,0.2322,0.5238,21,10,0,0.5238,0.7525,0.6153,Grayhole
69,0.5603,1.0,36,0,0,1.0,0.8639,0.9456,Normal
70,0.5041,1.0,35,0,0,1.0,0.9687,0.9875,Normal
71,0.0,0.6,20,8,0,0.6,0.7917,0.6767,Grayhole
72,0.6879,0.9286,28,2,0,0.9286,0.8297,0.889,Normal
73,0.5183,0.931,29,2,0,0.931,0.8415,0.8952,Normal
74,0.2006,1.0,20,0,0,1.0,0.8255,0.9302,Normal
75,0.5811,1.0,34,0,0,1.0,0.8336,0.9335,Normal
76,0.5163,0.9643,28,1,0,0.9643,0.8753,0.9287,Normal
77,0.0,0.98,100,2,0,0.98,0.7993,0.9077,DoS
78,0.6254,0.9565,23,1,0,0.9565,0.8024,0.8949,Normal
79,2.3006,0.9576,118,5,0,0.9576,0.7188,0.8621,DoS
80,0.4992,1.0,28,0,0,1.0,0.8352,0.9341,Normal
81,0.2136,1.0,30,0,0,1.0,0.915,0.966,Normal
82,2.3638,0.8222,90,16,0,0.8222,0.799,0.8129,DoS
83,0.2339,0.963,27,1,0,0.963,0.8548,0.9197,Normal
84,0.6404,0.0,35,35,0,0.0,0.7206,0.2882,Blackhole
85,0.4981,0.9744,39,1,0,0.9744,0.5875,0.8196,Normal
86,0.4696,0.9333,30,2,0,0.9333,0.8494,0.8998,Normal
87,0.3051,0.96,25,1,0,0.96,0.73,0.868,Normal
88,0.4222,0.963,27,1,0,0.963,0.9512,0.9583,Normal
89,0.2393,1.0,39,0,0,1.0,0.7343,0.8937,Normal
90,0.4035,0.931,29,2,0,0.931,0.7843,0.8723,Normal
91,0.2402,0.9231,26,2,0,0.9231,0.8328,0.887,Normal
92,0.6633,0.9459,37,2,0,0.9459,0.8222,0.8965,Normal
93,0.6043,0.0,22,22,0,0.0,0.7742,0.3097,Blackhole
94,0.2849,1.0,34,0,0,1.0,0.8131,0.9252,Normal
95,0.0908,0.4828,29,15,0,0.4828,0.8105,0.6139,Grayhole
96,0.5277,1.0,39,0,0,1.0,0.8788,0.9515,Normal
97,5.4614,0.9115,113,10,0,0.9115,0.8258,0.8772,DoS
98,0.136,0.5417,24,11,0,0.5417,0.7995,0.6448,Grayhole
99,0.7954,0.0,38,38,0,0.0,0.8561,0.3424,Blackhole
0,0.4118,0.9706,34,1,0,0.9706,0.8207,0.9107,Normal
1,0.2531,0.931,29,2,0,0.931,0.9069,0.9214,Normal
2,0.6133,0.9444,36,2,0,0.9444,0.8656,0.9129,Normal
3,0.4421,0.9643,28,1,0,0.9643,0.9673,0.9655,Normal
4,0.5466,0.9615,26,1,0,0.9615,0.4788,0.7685,Normal
5,0.3957,0.9677,31,1,0,0.9677,0.8794,0.9324,Normal
6,0.6543,0.9677,31,1,0,0.9677,0.7083,0.864,Normal
7,0.3897,1.0,22,0,0,1.0,0.8491,0.9397,Normal
8,0.3092,1.0,34,0,0,1.0,0.7905,0.9162,Normal
9,0.2522,1.0,25,0,0,1.0,0.8264,0.9305,Normal
10,0.5541,0.9048,21,2,0,0.9048,0.7865,0.8574,Normal
11,2.9744,0.9592,98,4,0,0.9592,0.8159,0.9019,DoS
12,0.2475,0.95,20,1,0,0.95,0.8156,0.8962,Normal
13,0.2526,0.973,37,1,0,0.973,0.8562,0.9263,Normal
14,0.3402,0.973,37,1,0,0.973,0.8549,0.9257,Normal
15,0.2934,0.4483,29,16,0,0.4483,0.8588,0.6125,Grayhole
16,0.587,0.9231,26,2,0,0.9231,0.8766,0.9045,Normal
17,3.1227,0.8317,101,17,0,0.8317,0.877,0.8498,DoS
18,0.0,0.8132,91,17,0,0.8132,0.8392,0.8236,DoS
19,0.2681,0.9655,29,1,0,0.9655,0.7749,0.8893,Normal
20,4.7547,0.9223,103,8,0,0.9223,0.7763,0.8639,DoS
21,0.3901,0.9545,22,1,0,0.9545,0.8149,0.8987,Normal
22,0.4562,1.0,36,0,0,1.0,0.8712,0.9485,Normal
23,0.5199,0.9091,22,2,0,0.9091,0.7909,0.8618,Normal
24,0.4258,1.0,31,0,0,1.0,0.9231,0.9693,Normal
25,0.669,0.92,25,2,0,0.92,0.8098,0.8759,Normal
26,0.543,0.9565,23,1,0,0.9565,0.8574,0.9169,Normal
27,0.3854,0.9355,31,2,0,0.9355,0.8332,0.8946,Normal
28,0.2384,1.0,37,0,0,1.0,0.8002,0.9201,Normal
29,0.23,0.9375,32,2,0,0.9375,0.4757,0.7528,Normal
30,0.6221,0.92,25,2,0,0.92,0.8665,0.8986,Normal
31,0.5375,0.0,22,22,0,0.0,0.844,0.3376,Blackhole
32,0.1031,0.5357,28,13,0,0.5357,0.6351,0.5755,Grayhole
33,2.0754,0.9123,114,10,0,0.9123,0.836,0.8818,DoS
34,0.2221,0.3939,33,20,0,0.3939,0.8537,0.5778,Grayhole
35,0.5685,0.9744,39,1,0,0.9744,0.7288,0.8761,Normal
36,0.2842,0.9231,26,2,0,0.9231,0.7842,0.8675,Normal
37,0.6482,1.0,32,0,0,1.0,0.8449,0.938,Normal
38,0.4379,0.9444,36,2,0,0.9444,0.8161,0.8931,Normal
39,0.7874,0.0,38,38,0,0.0,0.7828,0.3131,Blackhole
40,0.6857,0.9737,38,1,0,0.9737,0.8574,0.9272,Normal
41,0.2583,0.9667,30,1,0,0.9667,0.9111,0.9444,Normal
42,0.4828,0.56,25,11,0,0.56,0.8996,0.6958,Grayhole
43,0.0341,0.4615,39,21,0,0.4615,0.604,0.5185,Grayhole
44,0.4849,1.0,27,0,0,1.0,0.8977,0.9591,Normal
45,4.4268,0.8362,116,19,0,0.8362,0.9268,0.8724,DoS
46,0.6571,1.0,26,0,0,1.0,0.738,0.8952,Normal
47,0.6359,0.9615,26,1,0,0.9615,0.9029,0.9381,Normal
48,0.458,1.0,30,0,0,1.0,0.8783,0.9513,Normal
49,0.4612,1.0,26,0,0,1.0,0.8919,0.9568,Normal
50,0.4149,0.9474,38,2,0,0.9474,0.8243,0.8982,Normal
51,0.4422,1.0,37,0,0,1.0,0.8778,0.9511,Normal
52,0.6722,0.0,23,23,0,0.0,0.8408,0.3363,Blackhole
53,0.2414,0.9333,30,2,0,0.9333,0.8417,0.8967,Normal
54,0.2703,0.9429,35,2,0,0.9429,0.7374,0.8607,Normal
55,0.66,0.9722,36,1,0,0.9722,0.8526,0.9244,Normal
56,0.5548,1.0,36,0,0,1.0,0.8977,0.9591,Normal
57,0.6047,0.0,27,27,0,0.0,0.547,0.2188,Blackhole
58,0.4961,0.525,40,19,0,0.525,0.8765,0.6656,Grayhole
59,0.5621,0.0,22,22,0,0.0,0.7315,0.2926,Blackhole
60,0.6692,0.0,23,23,0,0.0,0.9022,0.3609,Blackhole
61,2.2383,0.8019,106,21,0,0.8019,0.8394,0.8169,DoS
62,0.5379,1.0,40,0,0,1.0,0.7279,0.8912,Normal
63,0.5545,1.0,31,0,0,1.0,0.8406,0.9362,Normal
64,0.2744,0.45,20,11,0,0.45,0.8476,0.609,Grayhole
65,0.3436,0.9487,39,2,0,0.9487,0.8634,0.9146,Normal
66,1.9211,0.9915,117,1,0,0.9915,0.7489,0.8944,DoS
67,0.4936,0.4857,35,18,0,0.4857,0.9248,0.6613,Grayhole
68,0.0,0.4286,28,16,0,0.4286,0.776,0.5675,Grayhole
69,0.5621,0.95,20,1,0,0.95,0.8953,0.9281,Normal
70,0.529,0.0,31,31,0,0.0,0.7877,0.3151,Blackhole
71,9.3009,0.932,103,7,0,0.932,0.8833,0.9126,DoS
72,0.5498,0.975,40,1,0,0.975,0.8474,0.924,Normal
73,0.6932,1.0,20,0,0,1.0,0.8719,0.9487,Normal
74,0.5672,0.9722,36,1,0,0.9722,0.9094,0.9471,Normal
75,0.5929,0.9048,21,2,0,0.9048,0.9081,0.9061,Normal
76,0.4752,0.9667,30,1,0,0.9667,0.8529,0.9211,Normal
77,0.5679,0.963,27,1,0,0.963,0.6955,0.856,Normal
78,0.5828,0.9429,35,2,0,0.9429,0.5902,0.8018,Normal
79,0.6003,0.9459,37,2,0,0.9459,0.7849,0.8815,Normal
80,0.2092,1.0,30,0,0,1.0,0.8028,0.9211,Normal
81,0.3389,0.4762,21,11,0,0.4762,0.6421,0.5425,Grayhole
82,0.2924,1.0,39,0,0,1.0,0.9105,0.9642,Normal
83,0.4054,0.9394,33,2,0,0.9394,0.8423,0.9006,Normal
84,0.3589,1.0,39,0,0,1.0,0.7097,0.8839,Normal
85,0.5002,0.95,40,2,0,0.95,0.9058,0.9323,Normal
86,0.3312,0.913,23,2,0,0.913,0.9161,0.9143,Normal
87,0.5126,0.9487,39,2,0,0.9487,0.9024,0.9302,Normal
88,0.5411,0.9091,22,2,0,0.9091,0.8117,0.8701,Normal
89,0.5399,1.0,29,0,0,1.0,0.8733,0.9493,Normal
90,0.6333,0.9688,32,1,0,0.9688,0.8565,0.9238,Normal
91,0.3662,0.931,29,2,0,0.931,0.907,0.9214,Normal
92,0.3541,0.9524,21,1,0,0.9524,0.815,0.8974,Normal
93,0.6528,0.0,28,28,0,0.0,0.527,0.2108,Blackhole
94,0.5771,0.0,29,29,0,0.0,0.6106,0.2442,Blackhole
95,0.5992,1.0,21,0,0,1.0,0.8703,0.9481,Normal
96,0.7949,0.0,38,38,0,0.0,0.7804,0.3121,Blackhole
97,0.5021,1.0,29,0,0,1.0,0.6692,0.8677,Normal
98,0.2914,0.9333,30,2,0,0.9333,0.7605,0.8642,Normal
99,0.0,0.9252,107,8,0,0.9252,0.6294,0.8069,DoS
0,0.586,0.9231,26,2,0,0.9231,0.935,0.9278,Normal
1,0.4944,0.9524,21,1,0,0.9524,0.9529,0.9526,Normal
2,0.5553,0.9412,34,2,0,0.9412,0.8824,0.9177,Normal
3,0.0,0.8947,114,12,0,0.8947,0.8871,0.8917,DoS
4,0.2367,1.0,30,0,0,1.0,0.7858,0.9143,Normal
5,0.4083,0.9048,21,2,0,0.9048,0.7758,0.8532,Normal
6,0.5886,0.0,22,22,0,0.0,0.727,0.2908,Blackhole
7,0.4872,0.5938,32,13,0,0.5938,0.7229,0.6454,Grayhole
8,0.3822,0.9444,36,2,0,0.9444,0.9577,0.9497,Normal
9,0.2929,0.9655,29,1,0,0.9655,0.7891,0.895,Normal
10,0.4132,0.9722,36,1,0,0.9722,0.9548,0.9652,Normal
11,0.7981,0.0,33,33,0,0.0,0.8506,0.3402,Blackhole
12,0.2387,1.0,21,0,0,1.0,0.7742,0.9097,Normal
13,0.515,0.931,29,2,0,0.931,0.8621,0.9035,Normal
14,0.401,1.0,21,0,0,1.0,0.9499,0.98,Normal
15,0.2821,0.4,30,18,0,0.4,0.7536,0.5414,Grayhole
16,0.5549,0.9355,31,2,0,0.9355,0.7376,0.8563,Normal
17,0.4119,1.0,40,0,0,1.0,0.8798,0.9519,Normal
18,0.2424,0.9444,36,2,0,0.9444,0.7341,0.8603,Normal
19,0.6574,0.95,40,2,0,0.95,0.8883,0.9253,Normal
20,0.4788,1.0,38,0,0,1.0,0.9514,0.9806,Normal
21,0.6733,0.9722,36,1,0,0.9722,0.9013,0.9439,Normal
22,0.0,0.875,104,13,0,0.875,0.8146,0.8508,DoS
23,0.0265,0.5455,33,15,0,0.5455,0.87,0.6753,Grayhole
24,0.6551,0.9667,30,1,0,0.9667,0.7533,0.8813,Normal
25,0.2345,0.9565,23,1,0,0.9565,0.8869,0.9287,Normal
26,0.3892,0.931,29,2,0,0.931,0.7788,0.8701,Normal
27,0.4838,1.0,29,0,0,1.0,0.7874,0.915,Normal
28,0.4982,1.0,30,0,0,1.0,0.8832,0.9533,Normal
29,0.4555,0.92,25,2,0,0.92,0.7938,0.8695,Normal
30,0.4412,1.0,37,0,0,1.0,0.7672,0.9069,Normal
31,0.5204,1.0,27,0,0,1.0,0.6793,0.8717,Normal
32,0.0,0.9153,118,10,0,0.9153,0.9558,0.9315,DoS
33,0.3831,1.0,35,0,0,1.0,0.9508,0.9803,Normal
34,0.5947,0.95,20,1,0,0.95,0.9338,0.9435,Normal
35,0.6216,1.0,36,0,0,1.0,0.8236,0.9294,Normal
36,0.3064,0.9565,23,1,0,0.9565,0.8916,0.9305,Normal
37,0.2973,0.9722,36,1,0,0.9722,0.8089,0.9069,Normal
38,0.5639,0.9722,36,1,0,0.9722,0.8948,0.9413,Normal
39,0.4093,0.9487,39,2,0,0.9487,0.8787,0.9207,Normal
40,0.3684,0.9677,31,1,0,0.9677,0.7722,0.8895,Normal
41,0.6528,1.0,20,0,0,1.0,0.8018,0.9207,Normal
42,0.2513,0.5172,29,14,0,0.5172,0.9626,0.6954,Grayhole
43,0.2897,0.913,23,2,0,0.913,0.7341,0.8414,Normal
44,0.4196,0.9583,24,1,0,0.9583,0.685,0.849,Normal
45,0.0826,0.3939,33,20,0,0.3939,0.9025,0.5974,Grayhole
46,0.6623,0.0,25,25,0,0.0,0.7895,0.3158,Blackhole
47,0.5823,0.0,23,23,0,0.0,0.8797,0.3519,Blackhole
48,0.0491,0.5714,21,9,0,0.5714,0.8432,0.6801,Grayhole
49,0.2398,1.0,25,0,0,1.0,0.8414,0.9366,Normal
50,0.6553,1.0,24,0,0,1.0,0.6939,0.8776,Normal
51,0.2764,1.0,27,0,0,1.0,0.8912,0.9565,Normal
52,0.3051,1.0,29,0,0,1.0,0.7483,0.8993,Normal
53,0.6391,0.963,27,1,0,0.963,0.799,0.8974,Normal
54,0.0,0.7982,109,22,0,0.7982,0.7931,0.7962,DoS
55,0.5357,0.9545,22,1,0,0.9545,0.8278,0.9039,Normal
56,0.2061,1.0,40,0,0,1.0,0.7076,0.8831,Normal
57,0.2166,0.9615,26,1,0,0.9615,0.8359,0.9113,Normal
58,1.0151,0.8132,91,17,0,0.8132,0.6916,0.7646,DoS
59,0.4002,0.9259,27,2,0,0.9259,0.77,0.8636,Normal
60,0.4441,0.9333,30,2,0,0.9333,0.642,0.8168,Normal
61,0.5554,0.973,37,1,0,0.973,0.7891,0.8994,Normal
62,0.3881,1.0,30,0,0,1.0,0.7903,0.9161,Normal
63,0.2502,0.9231,26,2,0,0.9231,0.79,0.8699,Normal
64,11.2918,0.8043,92,18,0,0.8043,0.9656,0.8689,DoS
65,0.0,0.8879,107,12,0,0.8879,0.7912,0.8492,DoS
66,0.2474,0.9667,30,1,0,0.9667,0.7802,0.8921,Normal
67,0.4947,1.0,20,0,0,1.0,0.8401,0.936,Normal
68,0.2602,0.9615,26,1,0,0.9615,0.8406,0.9132,Normal
69,0.3718,1.0,28,0,0,1.0,0.7271,0.8908,Normal
70,0.4734,1.0,22,0,0,1.0,0.7339,0.8936,Normal
71,0.5238,0.9565,23,1,0,0.9565,0.738,0.8691,Normal
72,0.516,0.9429,35,2,0,0.9429,0.8229,0.8949,Normal
73,0.511,1.0,39,0,0,1.0,0.7492,0.8997,Normal
74,0.3339,0.9667,30,1,0,0.9667,0.9163,0.9465,Normal
75,0.0,0.5,30,15,0,0.5,0.8497,0.6399,Grayhole
76,0.0,0.4062,32,19,0,0.4062,0.8072,0.5666,Grayhole
77,4.8669,0.9732,112,3,0,0.9732,0.7879,0.8991,DoS
78,0.5431,0.0,31,31,0,0.0,0.8583,0.3433,Blackhole
79,1.9445,0.9626,107,4,0,0.9626,0.7518,0.8783,DoS
80,0.3423,1.0,20,0,0,1.0,0.9307,0.9723,Normal
81,0.6323,0.9091,22,2,0,0.9091,0.7788,0.857,Normal
82,0.3516,0.9677,31,1,0,0.9677,0.8966,0.9393,Normal
83,0.3098,0.9706,34,1,0,0.9706,0.7556,0.8846,Normal
